image_path,clean_title,2_way_label
images/51o32w.jpg,somethings gone wrong at starbucks according to baristas,0
images/de46j7.jpg,my ice cube tray made an ice stalagmite,1
images/b1y9f5.jpg,amazingly designed hallway,0
images/7267xi.jpg,on the train platform,0
images/ckkael.jpg,the shadow looks like detectives silhouette,1
images/cinamv.jpg,super ripe bananas the hottest geriatric punk rock group around,0
images/bx6n1u.jpg,potatos bleed when you shred them,1
images/cdo0vrn.jpg,white guy,0
images/7kvogc.jpg,five nights at freddys,0
images/cegojk.jpg,insect on a plant,1
images/8ewgwn.jpg,snake eating another snake,1
images/5p4y2g.jpg,news staying pure mike pence is crushing his testicles with the lincoln bible after being aroused by the feminine contours of the capitol building,0
images/cgs3w93.jpg,cutouts,0
images/c7773wn.jpg,feeling lucky,0
images/k3n1m.jpg,join the raaf,0
images/2bl8zu.jpg,me firing a banana on the beach,1
images/f2x97hf.jpg,futurama,0
images/cfj7bhb.jpg,other discussions,0
images/1g7g5l.jpg,a dad is tenth most popular christmas list request for children,1
images/cm7ogw.jpg,actual photo of the assassination of jfk circa,0
images/52r2ji.jpg,white supremacist charged with mowing down and killing black teen because of race,1
images/7a7phf.jpg,a motley rabble by the saucy boys contexthttpsenwikipediaorgwikicrispusattucksbostonmassacre,0
images/1jzcrw.jpg,my cousin on safari,1
images/c7s1wpm.jpg,i believe this is still sfw funny how a few black bars can change the meaning of a pic,0
images/c3t4ox.jpg,i found a tiny bug inside a raspberry package at a local grocery store today,1
images/718b8o.jpg,people are losing it over la croixs latest flavor,0
images/c5f76s.jpg,ny woman who called herself umm nutella faces prison for helping isis,1
images/dj8ysvf.jpg,on the next episode of doctor who,0
images/1vazw7.jpg,trying to cook when this guy judged me,0
images/cjn4z7u.jpg,her food i will eat it,0
images/bke70b.jpg,i found a leaf clover,1
images/8iuujn.jpg,fish bowl spills water,0
images/e5az93v.jpg,hey put me down ive got money to make,0
images/cmk4af.jpg,my ceiling looks like an sd card,0
images/27n7cy.jpg,dejected slice of banana doesnt want to be eaten,0
images/cpgeix.jpg,rare pepe in the wild,0
images/btjqap.jpg,no innocent death should happen on this land south korean democratic movement,0
images/cplcw5p.jpg,hangover,0
images/cbuhrww.jpg,other discussions,0
images/5rav82.jpg,heart swells my shadow your echo,0
